CIF_ID,CUST_AGE,AGE_WITH_BANK,DIS_AMT,REP_PERD_MTHS,FLOW_AMT,NO_OF_INSTALLMENTS,min_cred_amt_6_months,max_cred_amt_6_months,avg_cred_amt_6_months,median_cred_amt_6_months,avg_monthly_cred_count_6_months,avg_eod_bal_6_months,median_eod_bal_6_months,min_debit_amt_6_months,max_debit_amt_6_months,avg_debit_amt_6_months,median_debit_amt_6_months,avg_monthly_debit_count_6_months,no_of_non_loan_accounts,no_of_loan_accounts,first_otg_trans,number_of_months_active_otg,avg_otg_tran_amt,median_otg_tran_amount,avg_monthly_otg_trans_count,avg_debit_to_credit_amt_ratio,median_debit_to_credit_amt_ratio,DEFAULT_STATUS_ENCODED,number_of_inactive_months_otg,MARITALSTATUS_MARRIED,MARITALSTATUS_SINGLE,SEGMENTATION_CLASS_BL03_OR_BLO5,OTG_TRANSACTING_FLAG,cust_age_19-20,cust_age_21-30,cust_age_31-40,cust_age_41-50,cust_age_51-60,cust_age_61-70,cust_age_71-80,age_with_bank_0-4,age_with_bank_5-8,age_with_bank_9-11,age_with_bank_12-15,first_otg_trans_0-4,first_otg_trans_5-8,first_otg_trans_9-11,first_otg_trans_12-15,no_of_inactive_months_otg_0- <3,no_of_inactive_months_otg_3- <6,no_of_inactive_months_otg_6- <9,no_of_inactive_months_otg_9 - 11
0127877,31,7,200000.0,60,4832.0,1,5000.0,200000.0,40503.25,20362.0,1.1428571428571428,16025.057692307691,638.75,6.0,30000.0,4640.444444444444,30.0,5.142857142857143,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1145696813081529,0.0014733326785188,1,0.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0317575,29,2,1770375.0,36,62221.0,1,100.0,1770375.0,34829.06542056075,11000.0,15.285714285714286,23332.00146341464,46.0,0.25,100000.0,17760.161228070174,10000.0,16.285714285714285,1.0,0.0,2.0,2.0,20521.51785714286,10000.0,18.666666666666668,0.5099235656660992,0.9090909090909092,1,0.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0039866,43,14,274300.0,60,6663.0,1,10.0,274300.0,29472.5625,12000.0,2.2857142857142856,11648.351111111111,475.63,6.0,40000.0,5343.502372881356,50.0,8.428571428571429,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1813043020226475,0.0041666666666666,1,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0279435,32,3,850000.0,60,20634.0,1,12000.0,850000.0,120265.28571428572,74774.5,2.0,67271.98102564101,36704.2,6.0,62700.0,18445.967083333333,15081.0,6.857142857142857,1.0,1.0,2.0,2.0,23692.28571428572,17581.0,4.666666666666667,0.1533773189310456,0.2016864037873874,1,0.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0175162,56,4,210000.0,60,5108.0,1,41157.0,338678.73,98677.773,41157.0,1.6666666666666667,407003.8110810811,411796.73,6.0,338678.73,10915.576477272729,30.0,12.571428571428571,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1106183910055684,0.0007289161017566,1,0.0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0335017,27,1,400000.0,60,9707.0,1,1.0,400000.0,37879.93043478261,21.0,6.571428571428571,35873.13251968502,8456.49,10.0,134000.0,7128.607981651377,2046.5,31.142857142857142,2.0,1.0,8.0,8.0,6980.947976878612,1500.0,17.3,0.1881895742634641,97.45238095238096,1,0.0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0102307,30,8,500000.0,60,12097.0,1,5.0,500000.0,88439.625,32877.0,1.1428571428571428,23023.8690625,2293.51,6.0,30800.0,4306.5,137.5,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0486942363222367,0.0041822550719347,1,0.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0308403,42,2,380000.0,60,9243.0,1,45.0,380000.0,39723.0,14280.0,2.0,12638.5,285.0,45.0,145000.0,8205.558139534884,3000.0,6.142857142857143,1.0,0.0,5.0,-1.0,15650.0,15650.0,2.0,0.2065694469082114,0.2100840336134453,1,6.0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0170887,29,5,939500.0,60,22823.0,1,2.0,939500.0,83085.37275862068,51529.0,8.285714285714286,42972.98561643835,4500.09,12.0,210000.09,26484.28196202532,1050.0,22.571428571428573,3.0,1.0,6.0,6.0,35002.83193277311,6785.0,14.875,0.3187598620874863,0.0203768751576782,1,0.0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0332963,30,1,500000.0,60,11963.0,1,7.0,500000.0,31766.754098360656,6000.0,8.714285714285714,7783.617204301076,4066.6,6.0,470000.0,6720.929166666667,500.0,41.142857142857146,2.0,0.0,12.0,12.0,4731.152173913043,1000.0,23.0,0.2115711648050785,0.0833333333333333,1,0.0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
