"CIF_ID","ACID","SCHM_CODE","ACCT_OPN_DATE"
"0130956",IM21085785,CAL31,2016-05-12 00:00:00.000
"0154880",IM21086692,CAL08,2017-05-19 00:00:00.000
"0136096",IM21085510,CAL31,2016-08-15 00:00:00.000
"0125286",IM21083162,CAL04,2016-01-29 00:00:00.000
"0131530",IM21084348,CAL04,2016-05-24 00:00:00.000
"0145595",IM21086723,CAL31,2017-03-04 00:00:00.000
"0125961",IM21083467,CAL31,2016-02-11 00:00:00.000
"0128773",IM21083765,CAL31,2016-04-06 00:00:00.000
"0131203",IM21084071,CAL04,2016-05-17 00:00:00.000
"0136180",IM21084947,CAL31,2016-08-17 00:00:00.000
"0156771",IM21086128,CAL06,2017-06-30 00:00:00.000
"0145207",IM21086417,CAL31,2017-02-23 00:00:00.000
"0153943",IM21086430,CAL31,2017-04-28 00:00:00.000
"0155931",IM21087002,CAL31,2017-06-13 00:00:00.000
"0155978",IM21087030,CAL31,2017-06-14 00:00:00.000
"0131938",IM21085583,CAL04,2016-06-08 00:00:00.000
"0041558",IM21095916,ODF05,2016-04-06 00:00:00.000
"0103693",IM21097006,ODF05,2016-06-10 00:00:00.000
"0097907",IM21095708,ODF05,2016-03-17 00:00:00.000
"0127029",IM21095570,ODF05,2016-02-29 00:00:00.000
"0097907",IM21096395,ODF05,2016-05-03 00:00:00.000
"0132434",IM21097125,ODF05,2016-06-17 00:00:00.000
"0119636",IM21093420,ODF05,2015-10-14 00:00:00.000
"0081121",IM21095755,ODF05,2016-03-23 00:00:00.000
"0123425",IM21094721,ODF05,2015-12-16 00:00:00.000
"0133916",IM21097569,ODF05,2016-07-12 00:00:00.000
"0033056",IM21092781,ODF05,2015-09-01 00:00:00.000
"0102044",IM21097590,ODF05,2016-07-13 00:00:00.000
"0096678",IM21094103,ODF05,2015-11-09 00:00:00.000
"0044324",IM21095630,ODF05,2016-03-07 00:00:00.000
"0117222",IM21094837,ODF05,2015-12-24 00:00:00.000
"0135691",IM21097982,ODF05,2016-08-09 00:00:00.000
"0107228",IM21098929,ODF05,2016-10-22 00:00:00.000
"0139430",IM21101032,ODF05,2017-03-20 00:00:00.000
"0136032",IM21098057,ODF05,2016-08-12 00:00:00.000
"0015206",IM21099356,ODF05,2016-11-22 00:00:00.000
"0106683",IM21099041,ODF05,2016-11-01 00:00:00.000
"0135691",IM21100112,ODF05,2017-01-13 00:00:00.000
"0130164",IM21098175,ODF05,2016-08-23 00:00:00.000
"0120827",IM21098461,ODF05,2016-09-19 00:00:00.000
"0135184",IM21097890,ODF05,2016-08-01 00:00:00.000
"0139430",IM21098813,ODF05,2016-10-12 00:00:00.000
"0105397",IM21099885,ODF05,2016-12-30 00:00:00.000
"0105397",IM21099887,ODF05,2016-12-30 00:00:00.000
"0148912",IM21101272,ODF05,2003-09-10 00:00:00.000
"0147767",IM21101901,ODF05,2007-02-27 00:00:00.000
"0123224",IM21099918,ODF05,2017-01-04 00:00:00.000
"0078530",IM21098881,ODF05,2016-10-19 00:00:00.000
"0060812",IM21097921,CAL04,2011-10-26 00:00:00.000
"0082396",IM21099207,CAL31,2013-08-27 00:00:00.000
